"id";"gender";"carType";"carCategory";"occupation";"age";"carGroup";"bonus";"carValue";"material";"subRegion";"region";"cityDensity";"claimValue"
1;"Female";"B";"Small";"Self-employed";29;12;1,3;10765;1;"O30";"O";25,22514012;0
2;"Male";"B";"Medium";"Self-employed";26;10;20;7680;1;"N10";"N";139,6062055;0
3;"Male";"C";"Small";"Unemployed";58;3;-30;22660;0;"M17";"M";201,6569069;426,99629966
4;"Female";"B";"Large";"Housewife";30;7;-50;2220;0;"N17";"N";137,8151761;0
5;"Male";"A";"Large";"Self-employed";19;9;-10;23920;0;"L36";"L";58,59040352;0
6;"Male";"F";"Medium";"Housewife";36;6;-50;2990;0;"L84";"L";129,6779531;0
7;"Male";"C";"Large";"Retired";69;9;-30;44910;1;"O25";"O";38,35953437;0
8;"Female";"A";"Large";"Unemployed";22;19;-10;16335;0;"S40";"S";34,81095528;174,99901214
9;"Female";"A";"Large";"Housewife";32;14;20;28025;0;"L132";"L";51,32331561;0
10;"Female";"A";"Large";"Self-employed";29;6;110;10720;1;"L54";"L";71,66099406;0
11;"Male";"A";"Small";"Self-employed";31;18;-10;14915;1;"Q37";"Q";148,5612071;8,0253795769
12;"Male";"D";"Large";"Retired";134;4;-10;1340;1;"U7";"U";103,9493988;0
13;"Male";"E";"Large";"Retired";68;12;-50;3805;1;"L30";"L";62,06252553;0
14;"Male";"A";"Medium";"Employed";20;13;0;8865;0;"U10";"U";137,8873343;1138,258536
15;"Female";"A";"Medium";"Housewife";38;12;-40;6800;1;"R12";"R";260,3601885;0
16;"Male";"B";"Medium";"Housewife";48;8;-40;28555;0;"S39";"S";23,58652635;1999,2342242
17;"Male";"A";"Small";"Employed";44;9;30;4745;0;"U6";"U";76,98652096;0
18;"Male";"A";"Large";"Employed";27;15;-10;3900;0;"R39";"R";234,675271;2749,0058226
19;"Female";"A";"Medium";"Employed";36;12;60;2755;1;"L40";"L";76,05272599;0
20;"Male";"B";"Large";"Self-employed";46;15;-40;44395;1;"R11";"R";259,0040603;0
21;"Male";"E";"Large";"Employed";76;6;0;9085;0;"T10";"T";20,3350899;874,68911623
22;"Male";"C";"Medium";"Employed";23;11;20;21350;0;"L63";"L";67,42478707;274,10305381
23;"Male";"A";"Medium";"Employed";44;10;-50;27210;0;"M1";"M";107,8170529;0
24;"Male";"C";"Medium";"Employed";75;10;0;9500;1;"O13";"O";31,06929242;0
25;"Female";"A";"Medium";"Employed";26;13;130;22010;0;"Q34";"Q";212,4247054;0
26;"Male";"E";"Small";"Housewife";30;9;-50;17965;1;"S28";"S";20,55791809;0
27;"Female";"C";"Small";"Retired";69;16;10;4595;0;"S22";"S";38,33660541;0
28;"Male";"D";"Large";"Retired";51;12;-40;17265;0;"N2";"N";59,8409496;0
